ORDER_ID,CLASS,B_EMAIL,B_TELEFON,B_BIRTHDATE,FLAG_LRIDENTISCH,FLAG_NEWSLETTER,Z_METHODE,Z_CARD_VALID,VALUE_ORDER,WEEKDAY_ORDER,TIME_ORDER,AMOUNT_ORDER,ANUMMER_01,CHK_LADR,CHK_RADR,CHK_KTO,CHK_CARD,CHK_COOKIE,CHK_IP,FAIL_LPLZ,FAIL_LORT,FAIL_LPLZORTMATCH,FAIL_RPLZ,FAIL_RORT,FAIL_RPLZORTMATCH,SESSION_TIME,NEUKUNDE,AMOUNT_ORDER_PRE,VALUE_ORDER_PRE
49917,no,yes,no,1973-01-17,yes,yes,check,5.2006,17.8,Saturday,9:13,1,406811,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49919,no,yes,yes,1970-12-08,no,no,credit_card,12.2007,18.2,Wednesday,17:36,1,600953,no,no,no,no,no,no,no,no,no,yes,no,no,13,yes,0,41.69
49923,no,yes,no,1972-04-03,yes,no,check,12.2007,10.8,Friday,11:13,1,406310,no,no,no,no,no,no,no,no,no,no,no,no,3,yes,0,41.69
49924,no,no,yes,1966-08-01,yes,no,check,1.2007,54.5,Friday,2:07,1,307359,no,no,no,yes,no,no,no,no,no,no,no,no,11,no,4,75.72
49927,no,yes,yes,1969-12-21,yes,no,credit_card,12.2006,19.99,Tuesday,23:46,1,200767,no,no,no,no,no,no,no,no,no,no,no,no,16,yes,0,41.69
49928,no,no,no,1975-01-20,no,no,credit_card,2.2007,22.95,Saturday,13:13,1,405897,no,no,no,no,no,no,no,no,no,no,no,no,8,no,1,6.95
49929,no,yes,no,1978-02-03,yes,no,check,11.2007,9.8,Thursday,14:43,1,303950,no,no,no,no,no,no,no,no,no,no,no,no,13,no,2,10.44
49930,no,no,no,1985-07-21,yes,no,check,5.2005,17.5,Sunday,8:51,1,400124,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,41.69
49931,no,yes,no,1953-05-21,no,no,credit_card,9.2007,9.99,Sunday,16:17,1,508801,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,6.1
49933,yes,no,no,1978-10-02,yes,no,check,11.2006,57.8,Friday,16:43,1,400914,no,no,no,no,no,no,no,no,no,no,no,no,1,yes,0,41.69
49935,no,no,no,1969-06-01,no,no,credit_card,1.2007,168.19,Monday,8:25,4,402697,no,no,no,no,no,no,no,no,no,no,no,no,10,no,2,82.32
49937,no,no,no,1965-07-09,yes,no,check,2.2006,18.2,Wednesday,2:49,1,106590,no,no,no,no,no,no,no,no,no,no,no,no,2,no,1,12.38
49938,no,yes,no,1969-06-01,yes,no,check,6.2006,68.8,Monday,11:44,2,402454,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,41.69
49939,no,no,no,1964-09-08,yes,no,check,11.2007,19.99,Sunday,4:58,1,201402,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,41.69
49940,no,yes,no,1964-08-22,no,no,credit_card,3.2007,54.5,Monday,0:08,1,207610,no,no,no,no,no,no,no,no,no,no,no,no,10,no,2,55.4
49941,no,no,no,1965-05-10,no,no,credit_card,6.2005,9.8,Tuesday,9:29,1,201373,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49942,no,yes,no,1974-10-28,no,no,debit_note,6.2007,98.5,Sunday,14:24,2,407610,yes,no,no,no,no,no,no,no,no,no,no,no,2,no,1,59.07
49943,no,yes,no,1971-01-25,yes,no,check,5.2006,64.5,Monday,19:05,1,107317,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49944,no,no,no,1972-10-20,no,no,credit_card,3.2005,31.9,Saturday,9:17,1,105580,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,11.09
49945,no,yes,no,1970-04-09,yes,no,debit_note,2.2006,23.5,Sunday,4:32,1,500124,yes,no,no,no,no,no,no,no,no,no,no,no,8,no,1,32.57
49946,no,yes,no,1969-06-01,yes,no,credit_card,4.2005,21.2,Wednesday,11:18,2,408126,no,no,no,no,no,no,no,no,no,no,no,no,10,yes,0,41.69
49947,no,yes,no,1952-12-21,yes,no,check,5.2005,67.0,Wednesday,15:18,2,500124,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,41.69
49949,no,yes,no,1974-01-27,yes,no,check,11.2005,17.5,Thursday,9:23,1,102448,no,no,no,no,no,no,no,no,no,no,no,no,8,no,2,143.24
49951,no,yes,no,1980-08-01,yes,no,check,4.2006,46.5,Thursday,18:21,1,206520,no,no,no,no,no,no,no,no,no,no,no,no,14,yes,0,41.69
49953,no,yes,no,1974-10-09,yes,no,credit_card,5.2006,107.5,Wednesday,6:40,3,603639,no,no,no,no,no,no,no,no,no,no,no,no,6,no,1,20.75
49956,no,yes,yes,1975-12-26,yes,no,check,4.2006,81.5,Tuesday,22:09,2,404921,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49957,no,no,no,1983-10-28,yes,no,check,3.2005,60.5,Wednesday,16:06,2,204765,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49959,no,yes,no,1975-11-23,yes,no,debit_note,2.2007,52.0,Saturday,3:44,1,104522,no,no,no,no,no,no,no,no,no,no,no,no,8,no,1,6.48
49960,no,yes,yes,1981-10-04,no,no,credit_card,3.2006,79.2,Thursday,10:47,2,502089,no,no,no,no,no,no,no,no,no,no,no,no,11,no,1,12.47
49962,no,yes,no,1944-05-10,yes,no,check,2.2006,9.99,Friday,3:32,1,300214,no,no,no,no,no,no,no,no,no,no,no,no,7,no,2,104.08
49965,no,yes,no,1986-03-14,yes,no,check,5.2005,5.2,Thursday,16:28,1,406160,no,no,no,no,no,no,no,no,no,no,no,no,2,yes,0,41.69
49967,no,yes,no,1976-02-06,yes,no,credit_card,5.2006,75.6,Sunday,2:44,2,406685,yes,no,no,no,no,no,no,no,no,no,no,no,7,no,1,16.96
49968,no,yes,yes,1966-04-16,yes,no,check,9.2006,54.5,Sunday,2:29,1,104258,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,41.69
49973,no,no,no,1986-05-01,yes,no,check,12.2005,18.5,Wednesday,3:57,1,108777,no,no,no,no,no,no,no,yes,no,no,no,no,10,yes,0,41.69
49974,no,yes,no,1983-11-08,no,no,credit_card,8.2007,39.5,Wednesday,18:36,1,306284,no,no,no,no,no,no,no,no,yes,no,no,no,9,no,1,32.89
49975,yes,no,no,1966-01-07,no,no,credit_card,10.2006,28.8,Wednesday,11:28,2,508889,no,no,no,no,no,no,no,no,no,no,no,no,2,yes,0,41.69
49981,no,yes,no,1969-06-01,yes,no,check,2.2005,32.8,Sunday,21:54,1,409736,no,no,no,no,no,no,no,no,no,no,no,no,3,no,1,58.44
49983,no,yes,no,1985-07-31,yes,no,check,9.2007,17.99,Sunday,10:10,1,302089,no,no,no,no,no,no,no,no,no,no,no,no,5,no,1,34.46
49985,no,yes,yes,1983-05-01,yes,no,check,2.2007,23.5,Tuesday,12:55,1,204242,no,no,no,no,no,no,no,no,no,yes,no,no,7,yes,0,41.69
49986,no,yes,no,1974-01-10,no,no,credit_card,2.2006,29.5,Monday,22:27,1,403136,no,no,no,no,no,no,no,no,no,no,no,no,3,yes,0,41.69
49987,no,no,no,1985-07-24,yes,no,check,7.2007,17.5,Sunday,13:32,1,400124,no,no,no,no,no,no,no,no,no,no,no,no,6,yes,0,41.69
49989,no,no,no,1986-01-22,yes,no,check,2.2007,17.8,Sunday,6:06,1,509006,no,no,no,no,no,no,no,no,no,no,no,no,7,no,2,58.66
49991,no,yes,no,1969-06-01,yes,no,credit_card,10.2005,10.8,Monday,13:20,1,202496,no,no,no,no,no,no,no,no,no,no,no,no,3,no,1,9.36
49992,no,yes,no,1978-01-17,no,yes,credit_card,7.2005,62.0,Saturday,12:56,1,102133,no,no,no,no,no,no,no,no,no,no,no,no,3,no,1,18.2
49993,no,no,no,1964-03-05,no,no,debit_note,10.2006,39.5,Saturday,13:14,1,309121,no,no,no,no,no,no,no,no,no,no,no,no,11,no,1,54.85
